study,design_point_id,workload,scenario_id,tasks_per_run,billing_period_tasks,efficiency_rank_within_design_point,accepted_task_fraction,external_quality_score,policy_violation_fraction,provider_cost_usd_per_task,marginal_cash_cost_usd_per_task,allocated_cash_cost_usd_per_task,economic_loss_usd_per_task,normalized_provider_cost,normalized_cost_per_verified_work,wall_seconds_per_task,normalized_wall_time,human_minutes_per_task,uncached_input_tokens_per_task,cache_read_tokens_per_task,cache_write_tokens_per_task,output_tokens_per_task,tool_schema_tokens_per_task,tool_result_tokens_per_task,model_calls_per_task,tool_calls_per_task,retries_per_task,compactions_per_task,cache_hit_fraction,budget_exhausted_fraction
controlled-harness,challenge-tool-registry-sprawl,tool-registry-sprawl,pi-cli-openai-api,4,300,2,0.0,0.003790647895867112,0.0,13.16746089645115,13.394770896451151,13.394770896451151,188.16986902068183,13.16746089645115,15.053589521654546,2200.4473542238934,5.239160367199747,25.013004130954684,4574229.515932115,204413.65,310102.8,18717.59227070386,431842.84,201947.9457019424,28.97875,113.655,76.33125,0.99125,0.04018148978062931,0.0
controlled-harness,challenge-unreliable-tools,unreliable-tools,copilot-cli-copilot-route,4,300,3,0.0,0.027104682052057266,0.00125,11.861894586220394,11.79478375288706,11.924783752887063,246.24547778407256,11.861894586220394,19.699638222725806,2053.343374829921,4.277798697562336,23.102601230540994,4352683.059563033,97599.75,120064.25,14062.214480034349,84213.3675,178714.2860080759,26.33,83.11125,44.095,0.72125,0.02137957494194741,1.0
controlled-harness,challenge-unreliable-tools,unreliable-tools,pi-cli-copilot-route,4,300,1,0.0,0.14174899181360193,0.00125,11.793489586793667,11.690078753460334,11.820078753460335,245.2933104722442,11.793489586793667,19.623464837779537,1992.8063898377904,4.15167997882873,23.042101230540993,4372150.943713153,65463.925,80699.275,14317.214480034349,57668.845,185365.2267478768,26.3525,64.96125,25.94625,0.7425,0.014505032185722752,1.0
controlled-harness,challenge-unreliable-tools,unreliable-tools,pi-cli-openai-api,4,300,2,0.0,0.14174899181360193,0.00125,11.793489586793667,11.923412086793666,11.923412086793666,245.39664380557755,11.793489586793667,19.6317315044462,1992.8063898377904,4.15167997882873,23.042101230540993,4372150.943713153,65463.925,80699.275,14317.214480034349,57668.845,185365.2267478768,26.3525,64.96125,25.94625,0.7425,0.014505032185722752,0.0
monthly-economics,high-browser-low-reuse,browser-low-reuse,copilot-proplus-auto,4,1000,3,0.0,0.07798682603412335,0.00125,10.98279104076608,9.95872943668947,9.99772943668947,149.7252360410712,10.98279104076608,11.978018883285698,2029.860941385317,4.22887696121941,23.56949655804352,4241359.7728534965,39380.0,178821.0,14474.85129994562,82349.6575,179900.59962416205,25.585,72.10875,32.83875,0.75625,0.008858005962326271,1.0
monthly-economics,high-browser-low-reuse,browser-low-reuse,pi-copilot-proplus-auto,4,1000,1,0.00375,0.33037281162998133,0.00125,11.10993587880997,10.038654790928973,10.077654790928973,148.81530359831476,11.10993587880997,11.822218934203558,1991.0701654085176,4.148062844601078,23.444488224710188,4277290.854766227,26908.875,120102.525,11249.85129994562,55743.935,153401.8992574414,25.3125,54.85625,15.5825,0.4875,0.0061050583893269535,1.0
monthly-economics,high-browser-low-reuse,browser-low-reuse,pi-openai-api-auto,4,1000,2,0.00375,0.33037281162998133,0.00125,11.10993587880997,11.219648378809971,11.219648378809971,149.95729718619577,11.10993587880997,11.912849636309812,1991.0701654085176,4.148062844601078,23.444488224710188,4277290.854766227,26908.875,120102.525,11249.85129994562,55743.935,153401.8992574414,25.3125,54.85625,15.5825,0.4875,0.0061050583893269535,0.0
monthly-economics,high-feature-mixed,feature-mixed,copilot-proplus-auto,4,1400,3,0.0125,0.46717911382879884,0.00375,7.657852740362596,6.914387466326336,6.942244609183479,124.36300539807817,7.657852740362596,9.72216168485562,1735.9854966051257,6.429575913352318,21.29729472088708,3479798.594228152,102080.25,90639.0,6515.397751013371,57409.17,57235.40571916496,24.20375,36.16,10.80875,0.0,0.027881266417780614,1.0
monthly-economics,high-feature-mixed,feature-mixed,pi-copilot-proplus-auto,4,1400,1,0.08625,0.6003546954414185,0.00375,7.440708048951015,6.709892244055913,6.737749386913055,115.87886161048185,7.440708048951015,7.8561386365587875,1635.926611379054,6.058987449552052,19.954686387553746,3426442.437018978,69565.8,61768.8,6515.397751013371,41006.55,52684.08725120794,24.20375,31.6275,6.27625,0.0,0.019616121645259155,1.0
monthly-economics,high-feature-mixed,feature-mixed,pi-openai-api-auto,4,1400,2,0.08625,0.6003546954414185,0.00375,7.440708048951015,7.5039630489510145,7.5039630489510145,116.6450752725198,7.440708048951015,7.906088861786512,1635.926611379054,6.058987449552052,19.954686387553746,3426442.437018978,69565.8,61768.8,6515.397751013371,41006.55,52684.08725120794,24.20375,31.6275,6.27625,0.0,0.019616121645259155,0.0
monthly-economics,high-integration-cold,integration-cold,copilot-proplus-auto,4,950,2,0.0,0.009144136976713345,0.0025,12.734624087233849,11.557892467984148,11.598945099563096,186.01754845709846,12.734624087233849,14.881403876567877,2172.807787320938,5.173351874573662,25.005670677349094,4831253.726426803,10103.175,283362.275,17474.63421428963,145121.775,149619.93419378097,28.565,85.2075,54.23625,0.89375,0.0019824532526105383,1.0
monthly-economics,high-integration-cold,integration-cold,pi-copilot-proplus-auto,4,950,1,0.0,0.14068484731916722,0.0025,13.123449581071254,11.850320412437814,11.891373044016762,185.7243661057545,13.123449581071254,14.857949288460361,2137.461963657129,5.089195151564594,24.909812344015762,4990030.399111055,7002.025,193433.25,14774.634214289628,100771.2825,122442.33954699295,28.33625,56.45,25.475,0.66875,0.0013566933285001604,1.0
monthly-economics,high-integration-cold,integration-cold,pi-openai-api-auto,4,950,3,0.0,0.14068484731916722,0.0025,13.123449581071254,13.236349581071256,13.236349581071256,187.06934264280903,13.123449581071254,14.965547411424721,2137.461963657129,5.089195151564594,24.909812344015762,4990030.399111055,7002.025,193433.25,14774.634214289628,100771.2825,122442.33954699295,28.33625,56.45,25.475,0.66875,0.0013566933285001604,0.0
monthly-economics,high-localized-hot,localized-hot,copilot-proplus-auto,4,3200,1,0.99875,0.8049179338573815,0.0,0.4970329047111862,0.4435996142400676,0.4557871142400677,3.685708862014917,0.4970329047111862,0.029729385199917142,138.07179620564682,1.5341310689516312,1.5001760964502984,190013.0293676212,26222.5125,23159.25,1799.985523260241,6480.6125,5589.900364593981,7.65125,9.0725,1.34375,0.0,0.10959684843370447,1.0
monthly-economics,high-localized-hot,localized-hot,pi-copilot-proplus-auto,4,3200,2,0.94,0.740188932082336,0.0,0.4821773621198036,0.4355121259078233,0.44769962590782325,7.110167313783659,0.4821773621198036,0.07204456489144527,201.14272779020476,2.234919197668942,2.5664802631169654,192828.62872113087,17282.1125,15263.25,1799.985523260241,3888.3675,6510.945520788214,7.65125,11.71375,3.985,0.0,0.07677536937741644,1.0
monthly-economics,high-localized-hot,localized-hot,pi-openai-api-auto,4,3200,3,0.94,0.740188932082336,0.0,0.4821773621198036,0.5056048621198035,0.5056048621198035,7.16807254999564,0.4821773621198036,0.07254925090415539,201.14272779020476,2.234919197668942,2.5664802631169654,192828.62872113087,17282.1125,15263.25,1799.985523260241,3888.3675,6510.945520788214,7.65125,11.71375,3.985,0.0,0.07677536937741644,0.0
monthly-economics,high-long-hot,long-hot,copilot-proplus-auto,4,720,2,0.0,0.003918370623634034,0.0,21.628473088851333,19.59353855774398,19.647705224410647,239.8224427594786,21.628473088851333,19.18579542075829,2856.8971703690318,3.9679127366236555,28.97568193697004,8727598.90460769,339631.25,101724.0,42732.23920061771,196405.08,212440.33366032015,48.315,112.5675,63.49375,2.39625,0.03704682409064053,1.0
