study,design_group,scenario_id,outcome_name,n,mean,stddev,mcse,min,p05,median,p95,max
controlled-harness,all,pi-cli-openai-api,uncached_input_tokens_per_task,3200,4322431.905762903,2809258.2802545577,49661.139501811405,85787.2492745354,150672.96569332958,4497123.342470286,8919953.566808611,9759742.214761352
controlled-harness,all,pi-cli-openai-api,wall_seconds_per_task,3200,1788.1601269025698,815.2367071460018,14.411485097378234,35.49990144843855,238.01418789500286,1953.7046208940915,2970.775254250194,3789.4138699866253
controlled-harness,challenge,copilot-cli-copilot-route,accepted_task_fraction,1600,0.17703125,0.34542792201015343,0.008635698050253836,0.0,0.0,0.0,1.0,1.0
controlled-harness,challenge,copilot-cli-copilot-route,allocated_cash_cost_usd_per_task,1600,13.541297470256886,8.890034630642955,0.22225086576607386,0.14650000000000002,0.21984147445053445,13.780918129295216,26.39364042178914,28.969163570310084
controlled-harness,challenge,copilot-cli-copilot-route,budget_exhausted_fraction,1600,0.91671875,0.22010469030695815,0.005502617257673954,0.0,0.25,1.0,1.0,1.0
controlled-harness,challenge,copilot-cli-copilot-route,cache_hit_fraction,1600,0.05190242303101534,0.0479831408260886,0.001199578520652215,0.0,0.0012148792505815617,0.03069298047018616,0.15671957128110192,0.19694091171603295
controlled-harness,challenge,copilot-cli-copilot-route,cache_read_tokens_per_task,1600,145237.4515625,113466.94076500753,2836.6735191251882,0.0,6840.0,100450.0,310155.0,391065.0
controlled-harness,challenge,copilot-cli-copilot-route,cache_write_tokens_per_task,1600,170389.1953125,135893.7691706964,3397.3442292674104,1472.5,6740.0,154350.0,458490.0,600082.5
controlled-harness,challenge,copilot-cli-copilot-route,compactions_per_task,1600,1.38125,1.4278702044743128,0.03569675511185782,0.0,0.0,1.0,4.0,4.5
controlled-harness,challenge,copilot-cli-copilot-route,economic_loss_usd_per_task,1600,165.56782704145476,89.13777718335174,2.2284444295837935,0.2783142495363784,4.352549028581344,186.46928137097214,260.85272055405426,283.52935607094435
controlled-harness,challenge,copilot-cli-copilot-route,external_quality_score,1600,0.22847985196522125,0.2944887108807048,0.007362217772017619,0.0,0.00045795404949845563,0.02457965048260941,0.7716580454702114,0.8240042609994335
controlled-harness,challenge,copilot-cli-copilot-route,human_minutes_per_task,1600,20.901460044827857,9.841493789552938,0.24603734473882347,0.035,1.5545671773046779,22.722025115532908,35.50301833100544,45.25646699042838
controlled-harness,challenge,copilot-cli-copilot-route,marginal_cash_cost_usd_per_task,1600,13.411297470256887,8.890034630642955,0.22225086576607386,0.0165,0.08984147445053443,13.650918129295214,26.26364042178914,28.839163570310085
controlled-harness,challenge,copilot-cli-copilot-route,model_calls_per_task,1600,29.53046875,14.728111288675331,0.3682027822168833,4.25,5.5,28.75,51.75,55.0
