contrast_id,study_family,scenario_id,role,model,changed_parameter,changed_value,provider_cost_usd,ai_credits,call_count,main_call_count,tool_calls,compactions,long_context_calls,max_input_tokens,input_uncached_tokens,cache_read_tokens,cache_write_tokens,output_tokens,input_uncached_cost_usd,cache_read_cost_usd,cache_write_cost_usd,output_cost_usd,discarded_context_tokens,tool_result_tokens_generated,tool_result_tokens_injected,parameters_json,interpretation
system-threshold-warm,threshold_discontinuity,system-threshold-warm-sol-comparison,comparison,sol,system_prompt_tokens,5000,0.248,24.8,1,1,0,0,1,272500,0,272500,0,1000,0.0,0.218,0.0,0.03,0,0,0,"{""cache_state"":""warm"",""output_tokens_per_call"":1000,""system_prompt_tokens"":5000}","The 1,000-token prompt increase moves total input from 500 tokens below to 500 tokens above this model's Copilot long-context threshold, with a warm prefix."
sequential-tools-4-to-5,tool_invocations,sequential-tools-4-to-5-luna-baseline,baseline,luna,tool_count,4,0.019932,1.9932,5,5,4,0,0,58400,0,212600,58400,900,0.0,0.004252,0.0146,0.00108,0,8000,8000,"{""execution_mode"":""sequential"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":4,""tool_result_tokens"":2000}",Marginal fifth tool. Sequential mode adds a provider roundtrip and replays accumulated context; batched mode only enlarges the existing tool exchange.
sequential-tools-4-to-5,tool_invocations,sequential-tools-4-to-5-luna-comparison,comparison,luna,tool_count,5,0.021745,2.1745,6,6,5,0,0,60500,0,271000,60500,1000,0.0,0.00542,0.015125,0.0012,0,10000,10000,"{""execution_mode"":""sequential"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":5,""tool_result_tokens"":2000}",Marginal fifth tool. Sequential mode adds a provider roundtrip and replays accumulated context; batched mode only enlarges the existing tool exchange.
sequential-tools-4-to-5,tool_invocations,sequential-tools-4-to-5-terra-baseline,baseline,terra,tool_count,4,0.19932,19.932,5,5,4,0,0,58400,0,212600,58400,900,0.0,0.04252,0.146,0.0108,0,8000,8000,"{""execution_mode"":""sequential"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":4,""tool_result_tokens"":2000}",Marginal fifth tool. Sequential mode adds a provider roundtrip and replays accumulated context; batched mode only enlarges the existing tool exchange.
sequential-tools-4-to-5,tool_invocations,sequential-tools-4-to-5-terra-comparison,comparison,terra,tool_count,5,0.21745,21.745,6,6,5,0,0,60500,0,271000,60500,1000,0.0,0.0542,0.15125,0.012,0,10000,10000,"{""execution_mode"":""sequential"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":5,""tool_result_tokens"":2000}",Marginal fifth tool. Sequential mode adds a provider roundtrip and replays accumulated context; batched mode only enlarges the existing tool exchange.
sequential-tools-4-to-5,tool_invocations,sequential-tools-4-to-5-sol-baseline,baseline,sol,tool_count,4,0.39504,39.504,5,5,4,0,0,58400,0,212600,58400,900,0.0,0.08504,0.292,0.018,0,8000,8000,"{""execution_mode"":""sequential"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":4,""tool_result_tokens"":2000}",Marginal fifth tool. Sequential mode adds a provider roundtrip and replays accumulated context; batched mode only enlarges the existing tool exchange.
sequential-tools-4-to-5,tool_invocations,sequential-tools-4-to-5-sol-comparison,comparison,sol,tool_count,5,0.4309,43.09,6,6,5,0,0,60500,0,271000,60500,1000,0.0,0.1084,0.3025,0.02,0,10000,10000,"{""execution_mode"":""sequential"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":5,""tool_result_tokens"":2000}",Marginal fifth tool. Sequential mode adds a provider roundtrip and replays accumulated context; batched mode only enlarges the existing tool exchange.
batched-tools-4-to-5,tool_invocations,batched-tools-4-to-5-luna-baseline,baseline,luna,tool_count,4,0.01668,1.668,2,2,4,0,0,58400,0,50000,58400,900,0.0,0.001,0.0146,0.00108,0,8000,8000,"{""execution_mode"":""batched"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":4,""tool_result_tokens"":2000}",Marginal fifth tool. Sequential mode adds a provider roundtrip and replays accumulated context; batched mode only enlarges the existing tool exchange.
batched-tools-4-to-5,tool_invocations,batched-tools-4-to-5-luna-comparison,comparison,luna,tool_count,5,0.017325,1.7325,2,2,5,0,0,60500,0,50000,60500,1000,0.0,0.001,0.015125,0.0012,0,10000,10000,"{""execution_mode"":""batched"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":5,""tool_result_tokens"":2000}",Marginal fifth tool. Sequential mode adds a provider roundtrip and replays accumulated context; batched mode only enlarges the existing tool exchange.
batched-tools-4-to-5,tool_invocations,batched-tools-4-to-5-terra-baseline,baseline,terra,tool_count,4,0.1668,16.68,2,2,4,0,0,58400,0,50000,58400,900,0.0,0.01,0.146,0.0108,0,8000,8000,"{""execution_mode"":""batched"",""final_output_tokens"":500,""initial_prompt_tokens"":50000,""retain_tool_results"":true,""tool_argument_tokens"":100,""tool_count"":4,""tool_result_tokens"":2000}",Marginal fifth tool. Sequential mode adds a provider roundtrip and replays accumulated context; batched mode only enlarges the existing tool exchange.
